molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL160,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,intermediate,5820.0
CHEMBL254219,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,active,230.0
CHEMBL1751,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,active,190.0
CHEMBL1526240,CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(C/C=C(/C)C(=O)O)C4O)C3=O,inactive,13370.0
CHEMBL487,CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,intermediate,6600.0
CHEMBL184412,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,intermediate,3920.0
CHEMBL305660,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,intermediate,6920.0
CHEMBL461101,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,intermediate,8270.0
CHEMBL3301622,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,intermediate,6760.0
CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,active,900.0
CHEMBL1200848,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,intermediate,6300.0
CHEMBL1410068,CC1(C)C=Cc2c(c3c(c4c(=O)c(-c5ccc(O)cc5)coc24)OC(C)(C)CC3)O1,intermediate,3220.0
CHEMBL4303716,,intermediate,4510.0
CHEMBL2010601,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,intermediate,6570.0
CHEMBL2403108,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,intermediate,2860.0
CHEMBL506569,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,inactive,50000.0
CHEMBL841,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,intermediate,9270.0
CHEMBL729,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,intermediate,9120.0
CHEMBL2107831,CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,intermediate,3780.0
CHEMBL416956,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,intermediate,4330.0
CHEMBL73451,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,intermediate,7280.0
CHEMBL1448,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,active,280.0
CHEMBL238188,CC(C)=CCc1c2c(c3occ(-c4ccc(O)cc4)c(=O)c3c1O)C=CC(C)(C)O2,intermediate,3870.0
CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,intermediate,3260.0
CHEMBL1889436,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O.O.O.O.O.O.O.O.O,active,97.0
CHEMBL2105450,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,intermediate,3710.0
CHEMBL47050,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,intermediate,5010.0
CHEMBL75880,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,intermediate,6380.0
CHEMBL1242,Nc1ccc(/N=N/c2ccccc2)c(N)n1,inactive,28000.0
CHEMBL600325,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O,intermediate,2040.0
CHEMBL7568,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,inactive,50000.0
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,inactive,11410.0
CHEMBL1208572,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@@H]1O[C@@H]([C@@H](CC)C(=O)O)CC[C@@H]1C)[C@H]1O[C@]2(C=C[C@@H](O)[C@]3(CC[C@@](C)([C@H]4CC[C@](O)(CC)[C@H](C)O4)O3)O2)[C@H](C)C[C@@H]1C,active,240.0
CHEMBL176045,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,intermediate,3000.0
CHEMBL479,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,intermediate,6690.0
CHEMBL47298,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,intermediate,4090.0
CHEMBL1655,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,intermediate,3580.0
CHEMBL187709,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,intermediate,7050.0
CHEMBL1357648,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl.Cl.O.O,intermediate,2590.0
CHEMBL1357648,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl.Cl.O.O,intermediate,2360.0
CHEMBL1200383,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,inactive,13800.0
CHEMBL1326,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O,inactive,42030.0
CHEMBL1713,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,intermediate,3140.0
CHEMBL1200710,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl,intermediate,5630.0
CHEMBL1448187,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,intermediate,6360.0
CHEMBL46516,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,intermediate,3160.0
CHEMBL1690,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,intermediate,9210.0
CHEMBL1642,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,3240.0
CHEMBL535650,Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,intermediate,7110.0
CHEMBL1200750,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,intermediate,9210.0
CHEMBL786,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,inactive,34120.0
CHEMBL1306,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,11920.0
CHEMBL3989478,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,intermediate,7090.0
CHEMBL1200675,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,intermediate,4770.0
CHEMBL187709,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,intermediate,4680.0
CHEMBL1357648,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl.Cl.O.O,intermediate,4940.0
CHEMBL1357648,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl.Cl.O.O,intermediate,5640.0
CHEMBL1200383,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,inactive,17790.0
CHEMBL1326,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O,inactive,46800.0
CHEMBL1713,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl,intermediate,4030.0
CHEMBL1200710,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl,intermediate,7590.0
CHEMBL1448187,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,intermediate,8980.0
CHEMBL46516,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,intermediate,5320.0
CHEMBL1690,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,inactive,11170.0
CHEMBL1642,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,5320.0
CHEMBL535650,Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,intermediate,8060.0
CHEMBL1200750,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,inactive,10440.0
CHEMBL786,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,intermediate,8980.0
CHEMBL1306,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,16140.0
CHEMBL3989478,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O,intermediate,8020.0
CHEMBL1200675,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,inactive,11300.0
CHEMBL187709,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1,intermediate,6410.0
CHEMBL1976486,C/C(=N\NC(=S)N1CCC1)c1ccccn1,active,20.0
CHEMBL2103851,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,active,20.0
CHEMBL3989553,CS(=O)(=O)O.CS(=O)(=O)O.N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,active,40.0
CHEMBL95431,NC(=O)c1nnn(Cc2cc(Cl)c(C(=O)c3ccc(Cl)cc3)c(Cl)c2)c1N,active,90.0
CHEMBL4303677,FC(F)(F)Oc1ccc2nc(-c3ccc(OCCOCCOc4ccc(-c5nc6ccc(OC(F)(F)F)cc6[nH]5)nc4)cn3)[nH]c2c1,active,190.0
CHEMBL71191,COc1cc2ncc(-c3ccccc3)nc2cc1OC,active,200.0
CHEMBL1231723,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,active,220.0
CHEMBL2094620,C/C(=N/Nc1nnc2c(n1)[nH]c1c(C)cccc12)c1ccccn1,active,240.0
CHEMBL2171124,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,active,250.0
CHEMBL2105698,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1.Cl,active,590.0
CHEMBL2003538,CCCCCCCCCCCCCCCC[n+]1ccccc1.O.[Cl-],active,620.0
CHEMBL2364622,Cl.NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,active,630.0
CHEMBL1316965,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC.Cl,active,640.0
CHEMBL85164,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1.CS(=O)(=O)O,active,640.0
CHEMBL70663,Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,active,730.0
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,760.0
CHEMBL4303661,CCCCCCCCCCCCCCCCCC[S+](CCC)c1ccccc1C(=O)OCC,active,770.0
CHEMBL559569,Cc1cccc2c1CC[C@H](CN1CCC(c3c(Cl)cccc3Cl)CC1)C[C@@H]2O,active,770.0
CHEMBL283078,Nc1nc(=S)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,active,780.0
CHEMBL2364627,CC(C)(C)Cn1c(N)nc2ccc(-c3[nH]c(C(C)(C)C)nc3-c3ccc(F)cc3)nc21.CS(=O)(=O)O.CS(=O)(=O)O,active,870.0
CHEMBL98123,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC.Cl,intermediate,1100.0
CHEMBL1518572,CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC,intermediate,1340.0
CHEMBL3181957,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1.CS(=O)(=O)O.CS(=O)(=O)O,intermediate,1420.0
CHEMBL1200485,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,intermediate,1550.0
CHEMBL1397,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,intermediate,1610.0
CHEMBL36342,CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1.Cl.Cl,intermediate,1650.0
CHEMBL1946170,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,intermediate,1670.0
CHEMBL508338,,intermediate,1690.0
CHEMBL727,Nc1nc2[nH]cnc2c(=S)[nH]1,intermediate,1710.0
CHEMBL317840,CC1=C(CCC(=O)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5C(C)O)c(C)c4C(C)O)C(C)=C3CCC(=O)O,intermediate,1850.0
CHEMBL152649,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,intermediate,1890.0
CHEMBL550495,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.O.O.O.[Cl-],intermediate,2030.0
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,intermediate,2360.0
CHEMBL294029,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,intermediate,2760.0
CHEMBL1651956,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,intermediate,3100.0
CHEMBL3188386,Cc1cc(-c2ncc(CC(=O)Nc3ccc(-c4cnccn4)cn3)cc2C)ccn1,intermediate,3270.0
CHEMBL1277001,CC(C)S(=O)(=O)NC[C@H](C)c1ccc(-c2ccc(CCNS(C)(=O)=O)cc2)cc1,intermediate,3280.0
CHEMBL101309,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,intermediate,3930.0
CHEMBL46286,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,intermediate,4710.0
CHEMBL3813873,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,intermediate,5430.0
CHEMBL298734,NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1,intermediate,5680.0
CHEMBL2103883,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,intermediate,5710.0
CHEMBL231779,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,intermediate,5910.0
CHEMBL1484738,N=C(Nc1ccc(I)cc1)NC1C2CC3CC(C2)CC1C3,intermediate,5960.0
CHEMBL1368758,Cc1nn(C)c2nc(NNC(=O)Nc3cc(Cl)nc(Cl)c3)cc(C(C)C)c12,intermediate,5970.0
CHEMBL551978,CCOc1ccc(/C=C2\NCCc3cc(OCC)c(OCC)cc32)cc1OCC,intermediate,6070.0
CHEMBL2105737,Cc1c(C(=O)Nc2ccc(N3C[C@H](C)O[C@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,inactive,10670.0
CHEMBL3350262,CCCC[C@@]1(C2CCCC2)Cc2cc(OCCCC(=O)O)c(Cl)c(Cl)c2C1=O,inactive,12780.0
CHEMBL535650,Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,inactive,14150.0
CHEMBL195789,CC(C)(C)c1ccc(/C=C/C(=O)Nc2ccc3c(c2)OCCO3)cc1,inactive,14970.0
CHEMBL998,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,inactive,15130.0
CHEMBL2105760,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,inactive,16040.0
CHEMBL3586404,CO[C@H]1CC[C@H](N2C(=O)CNc3ncc(-c4ccc(C(C)(C)O)nc4)nc32)CC1,inactive,16780.0
CHEMBL4303163,CCS(=O)(=O)N(Cc1cccnc1)c1cccc(-c2ccc(C#N)cc2)c1,inactive,17050.0
CHEMBL92870,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,inactive,17390.0
CHEMBL1200865,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,inactive,17920.0
CHEMBL75232,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1.O=C(O)CCC(=O)O,inactive,18270.0
CHEMBL221692,Fc1ccc(-c2cncc(CN3CCN(c4cccc5c4OCCO5)CC3)c2)cc1,inactive,18590.0
CHEMBL1088751,CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,inactive,18850.0
CHEMBL27289,C=C(c1ccccc1OCc1cccc(Cl)c1)n1ccnc1,inactive,18920.0
CHEMBL540612,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1.Cl,inactive,18950.0
CHEMBL1565817,COC(=O)C[C@@](O)(CCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@@H]13)OCO4,inactive,19000.0
CHEMBL552659,Cl.Cl.Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,inactive,19050.0
CHEMBL729,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,inactive,19110.0
CHEMBL1951415,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCCCC2)n1,inactive,19230.0
CHEMBL2106227,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,inactive,20640.0
CHEMBL1200836,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,inactive,20820.0
CHEMBL1610008,O=C(O)c1ccc(N2C(=O)/C(=C/c3ccc(-c4ccc([N+](=O)[O-])cc4)o3)C=C2c2ccccc2)cc1,inactive,8709635.9
CHEMBL254578,O=C(O)/C(Cc1ccccc1[N+](=O)[O-])=N\Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,intermediate,2089.3
CHEMBL4297454,CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(=O)c2[nH]1,inactive,3467368.5
CHEMBL430060,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,inactive,999684595.59
CHEMBL4128763,C[C@@H](C1CCCCC1)n1c(-c2cc3c(cc2Br)OCO3)nc2cc(C(=O)Nc3ccc(C#N)cc3)ccc21,active,602.56
CHEMBL529,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,inactive,7762471.17
CHEMBL590799,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,intermediate,6760.83
CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,active,389.05
CHEMBL3747513,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,intermediate,4897.79
CHEMBL1626,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,intermediate,2137.96
CHEMBL415087,Clc1ccc(C(OCCN2CCCCC2)c2ccccc2)cc1,intermediate,5370.32
CHEMBL3786230,COc1ccc(-c2sc(NC(=O)C(C)(C)C)nc2C)cc1S(=O)(=O)Nc1ccc(O)cc1,intermediate,6760.83
CHEMBL4303786,COC1CC/C=C/c2cccc(c2)C(CCNC(=O)OC(C)(C)C)OC(=O)C2CCCN(N2)C(=O)C(C)NC(=O)C(C(C)C)NC(=O)C1C,inactive,47863.01
CHEMBL4303404,Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O,active,645.65
CHEMBL178,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,active,213.8
CHEMBL1624459,c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,intermediate,2137.96
CHEMBL4303781,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCCCCNC(=O)COc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,intermediate,3176.87
CHEMBL52440,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,intermediate,7762.47
CHEMBL2170062,Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1,active,140.28
